Report Date:	13:51:15, 03/10/2021

Sample:	'GQD(EM)
File name:	Excitation_60_min_4004032.FDS
Run Date:	13:50:24, 03/10/2021
Operator:	User
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2468-001
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	500.0 nm
EM  Start WL:	510.0 nm
EM  End WL:	700.0 nm
Scan speed:	240 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	400 V
Response:	4.0 s
Corrected spectra:	Off
Shutter control:	Off

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Area(Data*nm)	Valley(nm)	Valley(Data)
1	510.0	584.6	700.0	112.9	4712.884	700.0	0.140

Data Points
nm	Data
510.0	0.140
511.0	0.141
512.0	0.145
513.0	0.151
514.0	0.160
515.0	0.173
516.0	0.186
517.0	0.204
518.0	0.222
519.0	0.244
520.0	0.271
521.0	0.302
522.0	0.335
523.0	0.373
524.0	0.415
525.0	0.463
526.0	0.514
527.0	0.572
528.0	0.638
529.0	0.708
530.0	0.786
531.0	0.872
532.0	0.963
533.0	1.063
534.0	1.172
535.0	1.293
536.0	1.426
537.0	1.569
538.0	1.727
539.0	1.900
540.0	2.087
541.0	2.287
542.0	2.509
543.0	2.746
544.0	3.005
545.0	3.283
546.0	3.583
547.0	3.910
548.0	4.258
549.0	4.631
550.0	5.042
551.0	5.492
552.0	5.984
553.0	6.526
554.0	7.139
555.0	7.802
556.0	8.556
557.0	9.423
558.0	10.43
559.0	11.58
560.0	12.97
561.0	14.60
562.0	16.58
563.0	18.94
564.0	21.73
565.0	25.00
566.0	28.83
567.0	33.23
568.0	38.18
569.0	43.65
570.0	49.58
571.0	55.85
572.0	62.29
573.0	68.76
574.0	75.26
575.0	81.50
576.0	87.43
577.0	92.92
578.0	97.84
579.0	102.1
580.0	105.7
581.0	108.5
582.0	110.6
583.0	112.1
584.0	112.8
585.0	112.9
586.0	112.4
587.0	111.5
588.0	110.2
589.0	108.4
590.0	106.4
591.0	104.1
592.0	101.6
593.0	98.89
594.0	96.06
595.0	93.09
596.0	90.10
597.0	87.08
598.0	84.03
599.0	80.97
600.0	77.91
601.0	74.87
602.0	71.85
603.0	68.89
604.0	66.01
605.0	63.19
606.0	60.39
607.0	57.68
608.0	55.02
609.0	52.45
610.0	49.91
611.0	47.46
612.0	45.10
613.0	42.80
614.0	40.58
615.0	38.46
616.0	36.41
617.0	34.43
618.0	32.54
619.0	30.72
620.0	29.00
621.0	27.35
622.0	25.78
623.0	24.26
624.0	22.84
625.0	21.48
626.0	20.17
627.0	18.95
628.0	17.79
629.0	16.69
630.0	15.66
631.0	14.68
632.0	13.74
633.0	12.86
634.0	12.03
635.0	11.26
636.0	10.53
637.0	9.856
638.0	9.213
639.0	8.610
640.0	8.041
641.0	7.512
642.0	7.015
643.0	6.550
644.0	6.115
645.0	5.711
646.0	5.330
647.0	4.973
648.0	4.642
649.0	4.331
650.0	4.045
651.0	3.773
652.0	3.526
653.0	3.296
654.0	3.080
655.0	2.878
656.0	2.688
657.0	2.508
658.0	2.341
659.0	2.189
660.0	2.043
661.0	1.907
662.0	1.779
663.0	1.660
664.0	1.548
665.0	1.445
666.0	1.348
667.0	1.259
668.0	1.175
669.0	1.097
670.0	1.022
671.0	0.955
672.0	0.891
673.0	0.831
674.0	0.776
675.0	0.725
676.0	0.675
677.0	0.630
678.0	0.588
679.0	0.546
680.0	0.509
681.0	0.475
682.0	0.443
683.0	0.414
684.0	0.387
685.0	0.362
686.0	0.338
687.0	0.315
688.0	0.294
689.0	0.275
690.0	0.257
691.0	0.241
692.0	0.225
693.0	0.211
694.0	0.199
695.0	0.187
696.0	0.176
697.0	0.166
698.0	0.157
699.0	0.148
700.0	0.140

