"RawData - File_210310_124803.spc"
"Wavelength nm."	"Abs."
400.00	1.625
401.00	1.574
402.00	1.519
403.00	1.464
404.00	1.406
405.00	1.348
406.00	1.289
407.00	1.228
408.00	1.166
409.00	1.105
410.00	1.046
411.00	0.986
412.00	0.929
413.00	0.878
414.00	0.829
415.00	0.781
416.00	0.741
417.00	0.703
418.00	0.671
419.00	0.642
420.00	0.618
421.00	0.597
422.00	0.579
423.00	0.564
424.00	0.551
425.00	0.540
426.00	0.531
427.00	0.523
428.00	0.516
429.00	0.511
430.00	0.507
431.00	0.503
432.00	0.501
433.00	0.499
434.00	0.498
435.00	0.497
436.00	0.498
437.00	0.498
438.00	0.500
439.00	0.502
440.00	0.505
441.00	0.508
442.00	0.513
443.00	0.518
444.00	0.524
445.00	0.532
446.00	0.540
447.00	0.550
448.00	0.561
449.00	0.573
450.00	0.586
451.00	0.600
452.00	0.617
453.00	0.634
454.00	0.652
455.00	0.671
456.00	0.691
457.00	0.712
458.00	0.733
459.00	0.756
460.00	0.780
461.00	0.805
462.00	0.829
463.00	0.853
464.00	0.880
465.00	0.907
466.00	0.935
467.00	0.964
468.00	0.996
469.00	1.030
470.00	1.066
471.00	1.104
472.00	1.146
473.00	1.192
474.00	1.242
475.00	1.294
476.00	1.351
477.00	1.417
478.00	1.487
479.00	1.559
480.00	1.635
481.00	1.716
482.00	1.802
483.00	1.896
484.00	1.989
485.00	2.081
486.00	2.172
487.00	2.264
488.00	2.351
489.00	2.431
490.00	2.510
491.00	2.580
492.00	2.637
493.00	2.686
494.00	2.729
495.00	2.758
496.00	2.794
497.00	2.815
498.00	2.838
499.00	2.852
500.00	2.861
501.00	2.875
502.00	2.881
503.00	2.897
504.00	2.908
505.00	2.910
506.00	2.923
507.00	2.920
508.00	2.929
509.00	2.934
510.00	2.942
511.00	2.942
512.00	2.950
513.00	2.954
514.00	2.951
515.00	2.959
516.00	2.955
517.00	2.957
518.00	2.952
519.00	2.965
520.00	2.962
521.00	2.964
522.00	2.960
523.00	2.959
524.00	2.967
525.00	2.971
526.00	2.961
527.00	2.970
528.00	2.969
529.00	2.974
530.00	2.968
531.00	2.962
532.00	2.957
533.00	2.962
534.00	2.968
535.00	2.962
536.00	2.889
537.00	2.801
538.00	2.809
539.00	2.810
540.00	2.807
541.00	2.807
542.00	2.803
543.00	2.804
544.00	2.806
545.00	2.805
546.00	2.800
547.00	2.796
548.00	2.793
549.00	2.786
550.00	2.784
551.00	2.769
552.00	2.742
553.00	2.687
554.00	2.605
555.00	2.468
556.00	2.303
557.00	2.112
558.00	1.912
559.00	1.724
560.00	1.545
561.00	1.377
562.00	1.223
563.00	1.089
564.00	0.967
565.00	0.856
566.00	0.760
567.00	0.678
568.00	0.603
569.00	0.539
570.00	0.482
571.00	0.431
572.00	0.388
573.00	0.351
574.00	0.318
575.00	0.290
576.00	0.266
577.00	0.245
578.00	0.227
579.00	0.212
580.00	0.198
581.00	0.186
582.00	0.175
583.00	0.166
584.00	0.159
585.00	0.152
586.00	0.146
587.00	0.141
588.00	0.136
589.00	0.132
590.00	0.129
591.00	0.125
592.00	0.122
593.00	0.120
594.00	0.118
595.00	0.116
596.00	0.114
597.00	0.112
598.00	0.111
599.00	0.110
600.00	0.109
601.00	0.107
602.00	0.107
603.00	0.106
604.00	0.105
605.00	0.104
606.00	0.103
607.00	0.103
608.00	0.102
609.00	0.101
610.00	0.101
611.00	0.100
612.00	0.100
613.00	0.099
614.00	0.099
615.00	0.098
616.00	0.098
617.00	0.098
618.00	0.097
619.00	0.097
620.00	0.096
621.00	0.096
622.00	0.096
623.00	0.095
624.00	0.095
625.00	0.095
626.00	0.094
627.00	0.094
628.00	0.094
629.00	0.093
630.00	0.093
631.00	0.092
632.00	0.092
633.00	0.092
634.00	0.092
635.00	0.091
636.00	0.091
637.00	0.090
638.00	0.090
639.00	0.090
640.00	0.089
641.00	0.089
642.00	0.088
643.00	0.088
644.00	0.088
645.00	0.088
646.00	0.087
647.00	0.087
648.00	0.086
649.00	0.086
650.00	0.086
