"RawData - File_210310_100306.spc"
"Wavelength nm."	"Abs."
190.00	3.429
191.00	3.661
192.00	3.864
193.00	3.587
194.00	3.921
195.00	3.793
196.00	3.985
197.00	3.896
198.00	3.902
199.00	3.897
200.00	3.955
201.00	3.974
202.00	3.963
203.00	3.927
204.00	3.998
205.00	4.000
206.00	3.956
207.00	3.875
208.00	3.936
209.00	3.934
210.00	3.959
211.00	3.978
212.00	3.982
213.00	3.964
214.00	4.000
215.00	3.987
216.00	3.979
217.00	4.000
218.00	4.000
219.00	3.999
220.00	3.964
221.00	3.981
222.00	4.000
223.00	4.000
224.00	4.000
225.00	3.997
226.00	3.983
227.00	3.913
228.00	3.982
229.00	3.963
230.00	3.983
231.00	3.963
232.00	4.000
233.00	3.968
234.00	4.000
235.00	3.968
236.00	3.988
237.00	3.980
238.00	3.942
239.00	4.000
240.00	3.931
241.00	3.950
242.00	3.994
243.00	3.954
244.00	4.000
245.00	3.928
246.00	4.000
247.00	3.990
248.00	3.980
249.00	3.992
250.00	4.000
251.00	3.953
252.00	3.949
253.00	3.941
254.00	3.904
255.00	3.995
256.00	3.998
257.00	3.968
258.00	3.925
259.00	3.891
260.00	3.849
261.00	3.973
262.00	3.972
263.00	3.975
264.00	3.999
265.00	3.925
266.00	3.938
267.00	3.949
268.00	3.833
269.00	3.984
270.00	3.972
271.00	3.911
272.00	3.894
273.00	3.986
274.00	3.901
275.00	3.928
276.00	3.931
277.00	3.987
278.00	3.836
279.00	3.860
280.00	3.833
281.00	3.927
282.00	3.900
283.00	3.880
284.00	3.902
285.00	3.887
286.00	3.907
287.00	3.911
288.00	3.895
289.00	3.892
290.00	3.948
291.00	3.969
292.00	3.880
293.00	3.820
294.00	3.813
295.00	3.975
296.00	3.919
297.00	3.974
298.00	3.958
299.00	3.872
300.00	3.751
301.00	3.812
302.00	4.000
303.00	3.905
304.00	3.947
305.00	3.967
306.00	3.688
307.00	3.915
308.00	3.726
309.00	3.729
310.00	3.853
311.00	3.683
312.00	3.908
313.00	3.862
314.00	3.908
315.00	3.676
316.00	3.687
317.00	3.895
318.00	3.998
319.00	3.877
320.00	3.908
321.00	3.943
322.00	3.950
323.00	3.975
324.00	3.702
325.00	3.701
326.00	3.778
327.00	3.892
328.00	4.000
329.00	3.644
330.00	3.776
331.00	3.672
332.00	3.362
333.00	3.879
334.00	3.836
335.00	3.574
336.00	3.670
337.00	3.882
338.00	3.759
339.00	3.813
340.00	3.725
341.00	3.849
342.00	3.502
343.00	3.500
344.00	3.783
345.00	3.610
346.00	3.673
347.00	3.380
348.00	3.694
349.00	3.450
350.00	3.728
351.00	3.307
352.00	3.367
353.00	3.694
354.00	3.713
355.00	3.826
356.00	3.910
357.00	3.887
358.00	3.635
359.00	3.574
360.00	3.780
361.00	3.796
362.00	3.615
363.00	3.761
364.00	3.713
365.00	3.305
366.00	3.437
367.00	3.392
368.00	3.293
369.00	3.388
370.00	3.428
371.00	3.517
372.00	3.154
373.00	3.060
374.00	2.929
375.00	3.059
376.00	2.976
377.00	3.032
378.00	2.881
379.00	2.849
380.00	2.803
381.00	2.726
382.00	2.749
383.00	2.750
384.00	2.663
385.00	2.606
386.00	2.549
387.00	2.538
388.00	2.453
389.00	2.409
390.00	2.347
391.00	2.262
392.00	2.201
393.00	2.133
394.00	2.060
395.00	1.985
396.00	1.928
397.00	1.857
398.00	1.793
399.00	1.734
400.00	1.673
401.00	1.614
402.00	1.554
403.00	1.500
404.00	1.439
405.00	1.377
406.00	1.315
407.00	1.250
408.00	1.184
409.00	1.118
410.00	1.054
411.00	0.991
412.00	0.932
413.00	0.878
414.00	0.827
415.00	0.779
416.00	0.737
417.00	0.696
418.00	0.662
419.00	0.633
420.00	0.609
421.00	0.588
422.00	0.570
423.00	0.555
424.00	0.542
425.00	0.532
426.00	0.523
427.00	0.515
428.00	0.509
429.00	0.504
430.00	0.500
431.00	0.497
432.00	0.495
433.00	0.493
434.00	0.493
435.00	0.493
436.00	0.493
437.00	0.494
438.00	0.496
439.00	0.499
440.00	0.502
441.00	0.506
442.00	0.511
443.00	0.516
444.00	0.523
445.00	0.531
446.00	0.540
447.00	0.550
448.00	0.562
449.00	0.574
450.00	0.587
451.00	0.602
452.00	0.619
453.00	0.636
454.00	0.655
455.00	0.674
456.00	0.694
457.00	0.716
458.00	0.738
459.00	0.761
460.00	0.785
461.00	0.811
462.00	0.835
463.00	0.859
464.00	0.886
465.00	0.913
466.00	0.942
467.00	0.972
468.00	1.005
469.00	1.038
470.00	1.075
471.00	1.113
472.00	1.154
473.00	1.201
474.00	1.252
475.00	1.304
476.00	1.365
477.00	1.432
478.00	1.504
479.00	1.577
480.00	1.653
481.00	1.735
482.00	1.822
483.00	1.917
484.00	2.011
485.00	2.105
486.00	2.200
487.00	2.293
488.00	2.382
489.00	2.465
490.00	2.542
491.00	2.607
492.00	2.662
493.00	2.716
494.00	2.757
495.00	2.790
496.00	2.826
497.00	2.850
498.00	2.863
499.00	2.877
500.00	2.890
501.00	2.898
502.00	2.919
503.00	2.931
504.00	2.935
505.00	2.934
506.00	2.952
507.00	2.946
508.00	2.953
509.00	2.961
510.00	2.973
511.00	2.970
512.00	2.973
513.00	2.980
514.00	2.981
515.00	2.982
516.00	2.980
517.00	2.976
518.00	2.985
519.00	2.983
520.00	2.978
521.00	2.983
522.00	2.985
523.00	2.972
524.00	2.991
525.00	2.977
526.00	2.973
527.00	2.986
528.00	2.979
529.00	2.967
530.00	2.974
531.00	2.965
532.00	2.973
533.00	2.970
534.00	2.980
535.00	2.974
536.00	2.897
537.00	2.811
538.00	2.819
539.00	2.817
540.00	2.809
541.00	2.811
542.00	2.819
543.00	2.817
544.00	2.806
545.00	2.810
546.00	2.812
547.00	2.812
548.00	2.803
549.00	2.803
550.00	2.790
551.00	2.771
552.00	2.739
553.00	2.676
554.00	2.577
555.00	2.429
556.00	2.258
557.00	2.061
558.00	1.859
559.00	1.671
560.00	1.494
561.00	1.331
562.00	1.183
563.00	1.053
564.00	0.936
565.00	0.829
566.00	0.736
567.00	0.656
568.00	0.584
569.00	0.523
570.00	0.469
571.00	0.421
572.00	0.381
573.00	0.346
574.00	0.315
575.00	0.288
576.00	0.266
577.00	0.246
578.00	0.229
579.00	0.214
580.00	0.201
581.00	0.190
582.00	0.181
583.00	0.172
584.00	0.165
585.00	0.159
586.00	0.153
587.00	0.148
588.00	0.144
589.00	0.140
590.00	0.137
591.00	0.134
592.00	0.131
593.00	0.129
594.00	0.127
595.00	0.125
596.00	0.124
597.00	0.122
598.00	0.121
599.00	0.120
600.00	0.119
601.00	0.118
602.00	0.117
603.00	0.116
604.00	0.115
605.00	0.114
606.00	0.114
607.00	0.113
608.00	0.113
609.00	0.112
610.00	0.112
611.00	0.111
612.00	0.111
613.00	0.110
614.00	0.110
615.00	0.109
616.00	0.109
617.00	0.109
618.00	0.108
619.00	0.108
620.00	0.107
621.00	0.107
622.00	0.107
623.00	0.106
624.00	0.106
625.00	0.106
626.00	0.105
627.00	0.105
628.00	0.105
629.00	0.104
630.00	0.104
631.00	0.104
632.00	0.103
633.00	0.103
634.00	0.102
635.00	0.102
636.00	0.101
637.00	0.101
638.00	0.100
639.00	0.100
640.00	0.100
641.00	0.099
642.00	0.099
643.00	0.099
644.00	0.099
645.00	0.098
646.00	0.098
647.00	0.098
648.00	0.098
649.00	0.098
650.00	0.097
651.00	0.097
652.00	0.097
653.00	0.097
654.00	0.096
655.00	0.096
656.00	0.096
657.00	0.096
658.00	0.095
659.00	0.095
660.00	0.095
661.00	0.095
662.00	0.094
663.00	0.094
664.00	0.094
665.00	0.094
