power	integration	peak value	peak location
0,002790	12315,791658	0,000000	0,000000
0,002982	11761,724246	0,000000	0,000000
0,002782	13251,132578	0,000000	0,000000
0,002538	12604,564080	0,000000	0,000000
0,001682	13646,962093	0,000000	0,000000
0,001740	14198,212214	0,000000	0,000000
0,002118	12672,648635	0,000000	0,000000
0,001765	14182,717108	0,000000	0,000000
0,001420	13309,356611	0,000000	0,000000
0,001148	14458,811717	0,000000	0,000000
0,000401	14684,195071	0,000000	0,000000
0,000503	15864,170840	0,000000	0,000000
0,000803	16358,605573	0,000000	0,000000
0,001220	16358,605573	0,000000	0,000000
0,001047	17848,953002	0,000000	0,000000
0,001043	17823,127826	0,000000	0,000000
0,001270	19309,249317	0,000000	0,000000
0,001892	20784,571190	0,000000	0,000000
0,002092	20784,571190	0,000000	0,000000
0,002645	20524,910784	0,000000	0,000000
0,002642	20524,910784	0,000000	0,000000
0,002781	23152,505054	0,000000	0,000000
0,002918	25904,999267	0,000000	0,000000
0,003173	26640,782008	0,000000	0,000000
0,003136	27172,780634	0,000000	0,000000
0,003731	27172,780634	0,000000	0,000000
0,003540	28773,471997	307,960091	598,109589
0,003536	32727,071667	349,838501	597,073340
0,003714	32727,071667	349,838501	597,073340
0,003515	32580,572487	316,713505	586,688646
0,003254	33343,119502	339,311572	588,075597
0,002968	33343,119502	339,311572	588,075597
0,003428	35142,899494	312,034185	579,395479
0,005023	37389,689806	382,844917	588,422223
0,005137	39830,403712	400,514716	586,688646
0,005979	41376,627431	330,293869	572,082808
0,005696	41376,627431	330,293869	572,082808
0,005479	43024,273660	306,227832	573,477195
0,005892	44329,618919	393,424222	580,786162
0,006487	41712,824268	524,042208	601,560820
0,005314	41712,824268	524,042208	601,560820
0,005488	48434,413256	388,670568	578,004089
0,006165	49030,740047	633,398692	598,109589
0,006447	51645,656504	653,858200	595,345359
0,006529	53496,147751	709,039385	597,418801
0,006884	52805,441681	378,633776	574,174125
0,006302	55164,923669	753,965136	598,800196
0,006191	55164,923669	753,965136	598,800196
0,006613	59756,639961	455,367738	574,174125
0,006996	57747,910818	628,505011	587,728926
0,006434	59033,535033	825,553428	598,109589
0,005925	63328,496576	924,311821	598,109589
0,006298	62396,912045	883,509061	597,764217
0,006737	66408,266200	988,574365	598,109589
0,006851	66408,266200	988,574365	598,109589
0,007169	67052,486954	1001,219360	600,180869
0,007490	67908,004603	1050,397324	600,870935
0,007571	66934,630242	1010,811656	598,109589
0,007879	66530,348851	967,324708	599,145432
0,007998	66912,091907	980,755915	599,490623
0,008451	69504,470028	1028,457860	598,109589
0,008780	68131,979311	1007,250904	597,764217
0,008868	71659,698352	1105,879037	600,525925
0,009089	70810,754385	1096,432814	599,835768
0,008981	73784,875562	1158,387953	599,145432
0,008982	73784,875562	1158,387953	599,145432
0,009346	81330,522439	1383,491027	599,145432
0,009209	73377,776879	1241,041836	599,490623
0,010035	84931,960619	1470,584545	599,145432
0,009883	84285,392122	1401,770402	598,800196
0,010295	84285,392122	1401,770402	598,800196
0,010508	87010,652512	1533,964066	598,800196
0,010774	87744,557059	1524,010368	600,180869
0,010903	88439,019519	1584,114373	599,145432
0,010857	88931,576058	1557,823998	599,835768
0,010079	88867,247892	1545,558570	599,835768
0,010241	90352,899835	1628,769911	599,145432
0,010333	90352,899835	1628,769911	599,145432
0,010278	94439,381774	1771,666947	598,800196
0,009975	94439,381774	1771,666947	598,800196
0,009731	92376,184987	1687,645521	599,835768
0,009657	94079,237957	1750,120929	598,800196
0,010640	92595,464208	1697,780041	599,145432
0,010531	95325,420085	1767,077390	599,490623
0,008393	95325,420085	1767,077390	599,490623
0,008060	95450,320028	1803,012194	599,145432
0,008710	99003,864245	1866,652559	599,490623
0,008561	96847,696823	1797,005568	599,145432
0,009385	101690,621645	2013,581114	598,800196
0,010971	105245,104960	2068,308034	598,800196
0,010026	105571,441274	2164,942080	598,800196
0,010356	101837,120826	2001,901575	599,145432
0,010610	102139,510159	2058,147026	599,145432
0,010615	104797,625092	2117,744688	599,145432
0,010928	101607,981082	2024,493139	599,145432
0,010942	101607,981082	2024,493139	599,145432
0,010710	102765,888064	1979,167942	599,145432
0,010640	103751,940238	2044,863100	599,490623
0,010612	105272,338782	2080,073045	599,490623
0,011328	106464,053267	2198,529593	599,490623
0,012453	105946,141101	2174,725925	599,490623
0,012620	104021,930715	2085,269897	599,145432
0,012773	106455,131842	2133,626625	599,145432
0,013068	105753,626152	2149,624092	599,145432
0,013342	107865,656000	2215,855748	598,800196
