power	integration	peak value	peak location
-0,001685	194672,993945	0,000000	0,000000
-0,001754	194977,731022	0,000000	0,000000
-0,001638	195284,346293	0,000000	0,000000
-0,001987	194830,292744	0,000000	0,000000
-0,000384	195575,936008	0,000000	0,000000
-0,001189	194164,472752	0,000000	0,000000
-0,001460	194842,501009	0,000000	0,000000
-0,001108	195204,523022	0,000000	0,000000
-0,001328	195670,784836	0,000000	0,000000
-0,001696	194462,636148	0,000000	0,000000
-0,002078	195266,972993	0,000000	0,000000
-0,002107	195266,972993	0,000000	0,000000
