"RawData - Lente direita 029 lote 18 - Shimadzu.txt_162359.spc"
"Wavelength nm."	"Abs."
190.00	3.484
191.00	3.723
192.00	3.605
193.00	3.855
194.00	3.747
195.00	3.632
196.00	3.905
197.00	3.901
198.00	3.897
199.00	3.901
200.00	3.823
201.00	3.824
202.00	3.786
203.00	3.851
204.00	3.886
205.00	3.958
206.00	3.860
207.00	3.928
208.00	3.875
209.00	3.881
210.00	3.965
211.00	3.925
212.00	3.934
213.00	3.899
214.00	3.978
215.00	3.918
216.00	3.939
217.00	3.943
218.00	3.983
219.00	3.978
220.00	3.942
221.00	3.887
222.00	3.876
223.00	3.981
224.00	3.961
225.00	3.890
226.00	3.777
227.00	3.909
228.00	3.899
229.00	3.942
230.00	3.980
231.00	4.000
232.00	3.939
233.00	3.979
234.00	3.911
235.00	3.949
236.00	3.928
237.00	3.996
238.00	3.957
239.00	3.947
240.00	3.964
241.00	3.985
242.00	3.978
243.00	3.899
244.00	3.977
245.00	3.928
246.00	3.958
247.00	3.997
248.00	3.982
249.00	3.950
250.00	3.961
251.00	3.942
252.00	3.945
253.00	4.000
254.00	3.861
255.00	3.954
256.00	3.974
257.00	3.987
258.00	3.906
259.00	3.883
260.00	3.879
261.00	3.914
262.00	3.804
263.00	3.920
264.00	3.891
265.00	3.787
266.00	3.749
267.00	3.869
268.00	3.954
269.00	4.000
270.00	3.861
271.00	3.930
272.00	3.972
273.00	3.884
274.00	3.921
275.00	3.926
276.00	3.913
277.00	3.956
278.00	3.877
279.00	3.855
280.00	3.677
281.00	3.768
282.00	3.881
283.00	3.925
284.00	3.944
285.00	3.824
286.00	3.825
287.00	3.838
288.00	3.840
289.00	3.892
290.00	3.750
291.00	3.816
292.00	3.902
293.00	3.892
294.00	3.757
295.00	3.833
296.00	3.938
297.00	3.896
298.00	3.967
299.00	3.819
300.00	3.790
301.00	3.950
302.00	3.898
303.00	3.896
304.00	3.951
305.00	3.711
306.00	3.765
307.00	3.660
308.00	3.810
309.00	3.874
310.00	3.706
311.00	3.213
312.00	3.089
313.00	3.678
314.00	3.763
315.00	3.698
316.00	3.411
317.00	3.329
318.00	3.584
319.00	3.407
320.00	3.693
321.00	3.872
322.00	3.748
323.00	3.788
324.00	3.599
325.00	3.699
326.00	3.879
327.00	3.839
328.00	3.817
329.00	3.163
330.00	3.219
331.00	3.626
332.00	3.903
333.00	3.798
334.00	3.762
335.00	3.681
336.00	3.337
337.00	3.574
338.00	3.475
339.00	3.715
340.00	3.324
341.00	3.854
342.00	3.760
343.00	3.474
344.00	3.423
345.00	3.688
346.00	3.634
347.00	3.468
348.00	3.586
349.00	3.652
350.00	3.385
351.00	3.156
352.00	2.959
353.00	2.960
354.00	2.799
355.00	2.702
356.00	2.813
357.00	2.719
358.00	2.581
359.00	2.587
360.00	2.486
361.00	2.455
362.00	2.446
363.00	2.430
364.00	2.339
365.00	2.290
366.00	2.245
367.00	2.214
368.00	2.178
369.00	2.148
370.00	2.116
371.00	2.064
372.00	2.036
373.00	1.999
374.00	1.968
375.00	1.932
376.00	1.904
377.00	1.872
378.00	1.833
379.00	1.809
380.00	1.779
381.00	1.752
382.00	1.713
383.00	1.688
384.00	1.650
385.00	1.615
386.00	1.578
387.00	1.540
388.00	1.501
389.00	1.454
390.00	1.407
391.00	1.366
392.00	1.323
393.00	1.277
394.00	1.233
395.00	1.191
396.00	1.151
397.00	1.110
398.00	1.071
399.00	1.034
400.00	0.999
401.00	0.962
402.00	0.925
403.00	0.891
404.00	0.854
405.00	0.815
406.00	0.777
407.00	0.739
408.00	0.700
409.00	0.662
410.00	0.626
411.00	0.590
412.00	0.557
413.00	0.528
414.00	0.500
415.00	0.474
416.00	0.452
417.00	0.431
418.00	0.414
419.00	0.399
420.00	0.386
421.00	0.375
422.00	0.365
423.00	0.357
424.00	0.349
425.00	0.343
426.00	0.337
427.00	0.331
428.00	0.326
429.00	0.322
430.00	0.318
431.00	0.314
432.00	0.310
433.00	0.306
434.00	0.302
435.00	0.299
436.00	0.295
437.00	0.291
438.00	0.288
439.00	0.284
440.00	0.281
441.00	0.278
442.00	0.274
443.00	0.271
444.00	0.267
445.00	0.264
446.00	0.261
447.00	0.258
448.00	0.255
449.00	0.252
450.00	0.249
451.00	0.246
452.00	0.243
453.00	0.241
454.00	0.238
455.00	0.236
456.00	0.233
457.00	0.231
458.00	0.229
459.00	0.227
460.00	0.225
461.00	0.223
462.00	0.220
463.00	0.218
464.00	0.216
465.00	0.215
466.00	0.213
467.00	0.211
468.00	0.209
469.00	0.207
470.00	0.206
471.00	0.204
472.00	0.203
473.00	0.201
474.00	0.200
475.00	0.199
476.00	0.197
477.00	0.196
478.00	0.195
479.00	0.193
480.00	0.192
481.00	0.191
482.00	0.190
483.00	0.188
484.00	0.187
485.00	0.185
486.00	0.184
487.00	0.182
488.00	0.180
489.00	0.178
490.00	0.177
491.00	0.175
492.00	0.173
493.00	0.170
494.00	0.168
495.00	0.166
496.00	0.164
497.00	0.161
498.00	0.159
499.00	0.157
500.00	0.155
501.00	0.153
502.00	0.151
503.00	0.150
504.00	0.148
505.00	0.146
506.00	0.144
507.00	0.143
508.00	0.141
509.00	0.140
510.00	0.138
511.00	0.137
512.00	0.135
513.00	0.134
514.00	0.133
515.00	0.132
516.00	0.131
517.00	0.130
518.00	0.128
519.00	0.128
520.00	0.127
521.00	0.126
522.00	0.125
523.00	0.124
524.00	0.123
525.00	0.122
526.00	0.121
527.00	0.121
528.00	0.120
529.00	0.119
530.00	0.119
531.00	0.118
532.00	0.117
533.00	0.117
534.00	0.116
535.00	0.116
536.00	0.115
537.00	0.114
538.00	0.114
539.00	0.113
540.00	0.113
541.00	0.112
542.00	0.112
543.00	0.111
544.00	0.111
545.00	0.110
546.00	0.110
547.00	0.109
548.00	0.109
549.00	0.108
550.00	0.108
551.00	0.107
552.00	0.106
553.00	0.106
554.00	0.105
555.00	0.105
556.00	0.104
557.00	0.104
558.00	0.103
559.00	0.103
560.00	0.102
561.00	0.101
562.00	0.101
563.00	0.100
564.00	0.100
565.00	0.099
566.00	0.099
567.00	0.098
568.00	0.098
569.00	0.097
570.00	0.096
571.00	0.096
572.00	0.096
573.00	0.095
574.00	0.094
575.00	0.094
576.00	0.093
577.00	0.093
578.00	0.093
579.00	0.092
580.00	0.091
581.00	0.091
582.00	0.090
583.00	0.090
584.00	0.089
585.00	0.088
586.00	0.088
587.00	0.087
588.00	0.087
589.00	0.086
590.00	0.086
591.00	0.085
592.00	0.085
593.00	0.084
594.00	0.084
595.00	0.083
596.00	0.083
597.00	0.083
598.00	0.082
599.00	0.082
600.00	0.081
601.00	0.081
602.00	0.081
603.00	0.080
604.00	0.080
605.00	0.079
606.00	0.079
607.00	0.079
608.00	0.078
609.00	0.078
610.00	0.078
611.00	0.078
612.00	0.077
613.00	0.077
614.00	0.077
615.00	0.077
616.00	0.076
617.00	0.076
618.00	0.076
619.00	0.076
620.00	0.075
621.00	0.075
622.00	0.075
623.00	0.075
624.00	0.075
625.00	0.074
626.00	0.074
627.00	0.074
628.00	0.074
629.00	0.074
630.00	0.074
631.00	0.074
632.00	0.073
633.00	0.073
634.00	0.073
635.00	0.073
636.00	0.073
637.00	0.072
638.00	0.072
639.00	0.072
640.00	0.072
641.00	0.072
642.00	0.072
643.00	0.072
644.00	0.072
645.00	0.072
646.00	0.072
647.00	0.072
648.00	0.072
649.00	0.072
650.00	0.071
651.00	0.071
652.00	0.071
653.00	0.071
654.00	0.071
655.00	0.071
656.00	0.071
657.00	0.071
658.00	0.071
659.00	0.071
660.00	0.071
661.00	0.071
662.00	0.071
663.00	0.071
664.00	0.070
665.00	0.070
666.00	0.070
667.00	0.070
668.00	0.070
669.00	0.070
670.00	0.070
671.00	0.070
672.00	0.070
673.00	0.070
674.00	0.070
675.00	0.070
676.00	0.070
677.00	0.070
678.00	0.070
679.00	0.070
680.00	0.070
681.00	0.070
682.00	0.069
683.00	0.070
684.00	0.070
685.00	0.069
686.00	0.069
687.00	0.069
688.00	0.069
689.00	0.069
690.00	0.069
691.00	0.069
692.00	0.069
693.00	0.069
694.00	0.069
695.00	0.069
696.00	0.069
697.00	0.069
698.00	0.069
699.00	0.069
700.00	0.069
701.00	0.069
702.00	0.069
703.00	0.069
704.00	0.069
705.00	0.069
706.00	0.069
707.00	0.069
708.00	0.069
709.00	0.069
710.00	0.069
711.00	0.069
712.00	0.069
713.00	0.069
714.00	0.069
715.00	0.069
716.00	0.068
717.00	0.068
718.00	0.068
719.00	0.068
720.00	0.068
721.00	0.068
722.00	0.068
723.00	0.068
724.00	0.068
725.00	0.068
726.00	0.068
727.00	0.068
728.00	0.068
729.00	0.068
730.00	0.068
731.00	0.068
732.00	0.068
733.00	0.068
734.00	0.068
735.00	0.068
736.00	0.068
737.00	0.068
738.00	0.068
739.00	0.068
740.00	0.068
741.00	0.068
742.00	0.068
743.00	0.068
744.00	0.068
745.00	0.068
746.00	0.068
747.00	0.068
748.00	0.068
749.00	0.068
750.00	0.068
751.00	0.068
752.00	0.068
753.00	0.068
754.00	0.068
755.00	0.068
756.00	0.068
757.00	0.068
758.00	0.068
759.00	0.068
760.00	0.063
761.00	0.066
762.00	0.068
763.00	0.068
764.00	0.068
765.00	0.068
766.00	0.068
767.00	0.068
768.00	0.068
769.00	0.068
770.00	0.068
771.00	0.068
772.00	0.068
773.00	0.068
774.00	0.068
775.00	0.068
776.00	0.068
777.00	0.068
778.00	0.067
779.00	0.067
780.00	0.067
781.00	0.067
782.00	0.068
783.00	0.067
784.00	0.067
785.00	0.067
786.00	0.067
787.00	0.067
788.00	0.067
789.00	0.067
790.00	0.067
791.00	0.067
792.00	0.067
793.00	0.067
794.00	0.067
795.00	0.067
796.00	0.067
797.00	0.067
798.00	0.067
799.00	0.067
800.00	0.067
801.00	0.067
802.00	0.067
803.00	0.067
804.00	0.067
805.00	0.067
806.00	0.067
807.00	0.067
808.00	0.067
809.00	0.067
810.00	0.067
811.00	0.067
812.00	0.067
813.00	0.067
814.00	0.067
815.00	0.067
816.00	0.067
817.00	0.067
818.00	0.067
819.00	0.067
820.00	0.067
821.00	0.067
822.00	0.067
823.00	0.067
824.00	0.067
825.00	0.067
826.00	0.067
827.00	0.067
828.00	0.067
829.00	0.067
830.00	0.067
831.00	0.067
832.00	0.067
833.00	0.067
834.00	0.067
835.00	0.067
836.00	0.067
837.00	0.067
838.00	0.067
839.00	0.067
840.00	0.067
841.00	0.067
842.00	0.067
843.00	0.067
844.00	0.067
845.00	0.067
846.00	0.067
847.00	0.067
848.00	0.067
849.00	0.067
850.00	0.067
851.00	0.067
852.00	0.067
853.00	0.067
854.00	0.067
855.00	0.067
856.00	0.067
857.00	0.067
858.00	0.067
859.00	0.067
860.00	0.067
861.00	0.067
862.00	0.067
863.00	0.068
864.00	0.068
865.00	0.068
866.00	0.068
867.00	0.068
868.00	0.068
869.00	0.068
870.00	0.068
871.00	0.068
872.00	0.068
873.00	0.068
874.00	0.068
875.00	0.068
876.00	0.068
877.00	0.068
878.00	0.068
879.00	0.068
880.00	0.068
881.00	0.068
882.00	0.068
883.00	0.068
884.00	0.068
885.00	0.068
886.00	0.068
887.00	0.068
888.00	0.069
889.00	0.069
890.00	0.069
891.00	0.069
892.00	0.069
893.00	0.069
894.00	0.069
895.00	0.069
896.00	0.069
897.00	0.069
898.00	0.069
899.00	0.070
900.00	0.070
901.00	0.070
902.00	0.070
903.00	0.070
904.00	0.070
905.00	0.070
906.00	0.070
907.00	0.070
908.00	0.070
909.00	0.070
910.00	0.069
911.00	0.069
912.00	0.069
913.00	0.069
914.00	0.069
915.00	0.069
916.00	0.069
917.00	0.069
918.00	0.069
919.00	0.069
920.00	0.069
921.00	0.068
922.00	0.068
923.00	0.068
924.00	0.068
925.00	0.068
926.00	0.068
927.00	0.068
928.00	0.068
929.00	0.068
930.00	0.068
931.00	0.068
932.00	0.068
933.00	0.068
934.00	0.068
935.00	0.068
936.00	0.068
937.00	0.068
938.00	0.068
939.00	0.068
940.00	0.068
941.00	0.068
942.00	0.068
943.00	0.067
944.00	0.068
945.00	0.068
946.00	0.067
947.00	0.068
948.00	0.068
949.00	0.067
950.00	0.068
951.00	0.068
952.00	0.068
953.00	0.068
954.00	0.068
955.00	0.068
956.00	0.068
957.00	0.069
958.00	0.068
959.00	0.068
960.00	0.069
961.00	0.069
962.00	0.069
963.00	0.069
964.00	0.069
965.00	0.069
966.00	0.069
967.00	0.069
968.00	0.069
969.00	0.069
970.00	0.070
971.00	0.069
972.00	0.070
973.00	0.069
974.00	0.070
975.00	0.069
976.00	0.070
977.00	0.070
978.00	0.070
979.00	0.070
980.00	0.070
981.00	0.070
982.00	0.070
983.00	0.070
