"RawData - Lente direita 029 lote 18 - Shimadzu.txt_162154.spc"
"Wavelength nm."	"T%"
190.00	-0.002
191.00	-0.038
192.00	-0.032
193.00	-0.018
194.00	-0.003
195.00	0.005
196.00	-0.018
197.00	-0.009
198.00	-0.002
199.00	-0.005
200.00	-0.005
201.00	0.005
202.00	0.002
203.00	0.009
204.00	-0.020
205.00	0.002
206.00	-0.006
207.00	0.000
208.00	0.005
209.00	-0.009
210.00	-0.002
211.00	0.009
212.00	0.006
213.00	0.000
214.00	0.005
215.00	0.000
216.00	0.000
217.00	-0.002
218.00	-0.006
219.00	-0.002
220.00	0.000
221.00	0.005
222.00	-0.003
223.00	0.002
224.00	-0.003
225.00	0.000
226.00	-0.005
227.00	0.006
228.00	-0.002
229.00	-0.003
230.00	0.000
231.00	0.000
232.00	0.000
233.00	-0.009
234.00	0.000
235.00	-0.002
236.00	-0.005
237.00	0.006
238.00	-0.002
239.00	0.002
240.00	0.003
241.00	0.000
242.00	0.017
243.00	0.002
244.00	-0.002
245.00	0.002
246.00	-0.008
247.00	0.002
248.00	-0.012
249.00	-0.006
250.00	-0.006
251.00	0.000
252.00	0.006
253.00	-0.012
254.00	-0.005
255.00	0.000
256.00	-0.003
257.00	0.000
258.00	0.000
259.00	0.003
260.00	-0.002
261.00	0.000
262.00	0.000
263.00	-0.015
264.00	0.003
265.00	0.006
266.00	0.009
267.00	0.012
268.00	0.015
269.00	0.000
270.00	-0.003
271.00	0.003
272.00	0.003
273.00	0.009
274.00	-0.006
275.00	0.011
276.00	-0.009
277.00	-0.017
278.00	-0.006
279.00	-0.018
280.00	0.008
281.00	0.014
282.00	-0.015
283.00	0.000
284.00	0.003
285.00	0.009
286.00	0.014
287.00	0.017
288.00	0.000
289.00	0.011
290.00	-0.011
291.00	-0.002
292.00	-0.012
293.00	0.002
294.00	0.009
295.00	0.003
296.00	-0.014
297.00	-0.009
298.00	-0.002
299.00	0.011
300.00	0.006
301.00	0.008
302.00	0.015
303.00	-0.012
304.00	0.000
305.00	-0.015
306.00	-0.024
307.00	-0.009
308.00	-0.018
309.00	0.000
310.00	0.009
311.00	0.095
312.00	0.047
313.00	-0.137
314.00	0.237
315.00	0.006
316.00	-0.014
317.00	-0.243
318.00	0.084
319.00	-0.084
320.00	-0.020
321.00	0.018
322.00	0.060
323.00	0.145
324.00	0.194
325.00	0.044
326.00	-0.041
327.00	0.044
328.00	-0.011
329.00	0.034
330.00	0.075
331.00	-0.044
332.00	0.038
333.00	-0.063
334.00	-0.006
335.00	0.055
336.00	-0.096
337.00	-0.027
338.00	0.024
339.00	0.000
340.00	-0.003
341.00	-0.058
342.00	0.014
343.00	0.002
344.00	0.020
345.00	0.078
346.00	-0.003
347.00	0.041
348.00	0.029
349.00	0.069
350.00	0.089
351.00	0.082
352.00	0.093
353.00	0.131
354.00	0.191
355.00	0.175
356.00	0.256
357.00	0.211
358.00	0.243
359.00	0.307
360.00	0.346
361.00	0.368
362.00	0.381
363.00	0.427
364.00	0.461
365.00	0.529
366.00	0.589
367.00	0.586
368.00	0.671
369.00	0.716
370.00	0.809
371.00	0.832
372.00	0.934
373.00	1.003
374.00	1.067
