Report Date:	13:46:24, 03/10/2021

Sample:	'GQD(EM)
File name:	Excitation_60_min_4004031.FDS
Run Date:	13:45:33, 03/10/2021
Operator:	User
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2468-001
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	500.0 nm
EM  Start WL:	510.0 nm
EM  End WL:	700.0 nm
Scan speed:	240 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	400 V
Response:	4.0 s
Corrected spectra:	Off
Shutter control:	Off

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Area(Data*nm)	Valley(nm)	Valley(Data)
1	510.0	599.0	700.0	61.64	2726.550	700.0	0.135

Data Points
nm	Data
510.0	0.089
511.0	0.089
512.0	0.089
513.0	0.089
514.0	0.091
515.0	0.093
516.0	0.096
517.0	0.100
518.0	0.105
519.0	0.113
520.0	0.122
521.0	0.132
522.0	0.145
523.0	0.161
524.0	0.180
525.0	0.203
526.0	0.230
527.0	0.262
528.0	0.300
529.0	0.343
530.0	0.391
531.0	0.447
532.0	0.509
533.0	0.579
534.0	0.659
535.0	0.749
536.0	0.856
537.0	0.975
538.0	1.112
539.0	1.265
540.0	1.436
541.0	1.623
542.0	1.839
543.0	2.077
544.0	2.341
545.0	2.636
546.0	2.956
547.0	3.309
548.0	3.688
549.0	4.106
550.0	4.556
551.0	5.040
552.0	5.558
553.0	6.112
554.0	6.688
555.0	7.280
556.0	7.900
557.0	8.534
558.0	9.164
559.0	9.784
560.0	10.38
561.0	10.95
562.0	11.50
563.0	12.00
564.0	12.45
565.0	12.84
566.0	13.17
567.0	13.43
568.0	13.63
569.0	13.77
570.0	13.86
571.0	13.92
572.0	13.96
573.0	14.02
574.0	14.11
575.0	14.29
576.0	14.61
577.0	15.12
578.0	15.86
579.0	16.89
580.0	18.28
581.0	20.02
582.0	22.15
583.0	24.65
584.0	27.51
585.0	30.69
586.0	34.07
587.0	37.55
588.0	41.01
589.0	44.38
590.0	47.59
591.0	50.55
592.0	53.23
593.0	55.56
594.0	57.54
595.0	59.10
596.0	60.26
597.0	61.07
598.0	61.52
599.0	61.64
600.0	61.42
601.0	60.95
602.0	60.27
603.0	59.34
604.0	58.23
605.0	56.97
606.0	55.57
607.0	54.06
608.0	52.45
609.0	50.79
610.0	49.04
611.0	47.26
612.0	45.43
613.0	43.61
614.0	41.78
615.0	39.96
616.0	38.15
617.0	36.39
618.0	34.64
619.0	32.91
620.0	31.23
621.0	29.61
622.0	28.03
623.0	26.49
624.0	25.01
625.0	23.59
626.0	22.22
627.0	20.91
628.0	19.66
629.0	18.47
630.0	17.33
631.0	16.24
632.0	15.21
633.0	14.23
634.0	13.30
635.0	12.42
636.0	11.60
637.0	10.83
638.0	10.11
639.0	9.425
640.0	8.779
641.0	8.171
642.0	7.602
643.0	7.075
644.0	6.588
645.0	6.126
646.0	5.699
647.0	5.298
648.0	4.927
649.0	4.581
650.0	4.262
651.0	3.967
652.0	3.690
653.0	3.434
654.0	3.197
655.0	2.976
656.0	2.768
657.0	2.576
658.0	2.399
659.0	2.233
660.0	2.079
661.0	1.937
662.0	1.806
663.0	1.681
664.0	1.563
665.0	1.454
666.0	1.356
667.0	1.265
668.0	1.178
669.0	1.099
670.0	1.024
671.0	0.954
672.0	0.890
673.0	0.830
674.0	0.773
675.0	0.720
676.0	0.671
677.0	0.626
678.0	0.584
679.0	0.544
680.0	0.509
681.0	0.473
682.0	0.441
683.0	0.412
684.0	0.382
685.0	0.356
686.0	0.330
687.0	0.309
688.0	0.287
689.0	0.269
690.0	0.250
691.0	0.234
692.0	0.218
693.0	0.205
694.0	0.192
695.0	0.181
696.0	0.170
697.0	0.160
698.0	0.152
699.0	0.143
700.0	0.135

