"RawData - File_210319_171149.spc"
"Wavelength nm."	"Abs."
190.00	3.780
191.00	3.392
192.00	3.744
193.00	3.565
194.00	3.585
195.00	3.591
196.00	3.685
197.00	3.535
198.00	3.562
199.00	3.595
200.00	3.786
201.00	3.808
202.00	3.759
203.00	3.631
204.00	3.649
205.00	3.748
206.00	3.760
207.00	3.711
208.00	3.870
209.00	3.797
210.00	3.514
211.00	3.778
212.00	3.756
213.00	3.787
214.00	3.844
215.00	3.831
216.00	3.930
217.00	3.876
218.00	3.816
219.00	3.811
220.00	3.836
221.00	3.874
222.00	3.822
223.00	3.845
224.00	3.859
225.00	3.872
226.00	3.834
227.00	3.923
228.00	3.824
229.00	3.845
230.00	3.841
231.00	3.906
232.00	3.990
233.00	3.875
234.00	3.840
235.00	3.887
236.00	3.852
237.00	3.952
238.00	3.908
239.00	3.857
240.00	3.933
241.00	3.781
242.00	3.839
243.00	3.701
244.00	3.840
245.00	3.790
246.00	3.928
247.00	3.807
248.00	3.866
249.00	3.934
250.00	3.903
251.00	3.877
252.00	3.848
253.00	3.831
254.00	3.855
255.00	3.805
256.00	3.809
257.00	3.885
258.00	3.698
259.00	3.691
260.00	3.787
261.00	3.855
262.00	3.897
263.00	3.600
264.00	3.776
265.00	3.777
266.00	3.509
267.00	3.715
268.00	3.635
269.00	3.609
270.00	3.659
271.00	3.963
272.00	3.863
273.00	3.577
274.00	3.878
275.00	3.909
276.00	3.840
277.00	3.854
278.00	3.723
279.00	3.687
280.00	3.719
281.00	3.731
282.00	3.749
283.00	3.597
284.00	3.751
285.00	3.795
286.00	3.776
287.00	3.470
288.00	3.819
289.00	3.691
290.00	3.648
291.00	3.512
292.00	3.932
293.00	3.549
294.00	3.658
295.00	3.737
296.00	3.708
297.00	3.529
298.00	3.692
299.00	3.315
300.00	3.400
301.00	3.353
302.00	3.271
303.00	3.001
304.00	2.943
305.00	2.657
306.00	2.601
307.00	2.563
308.00	2.361
309.00	2.236
310.00	2.163
311.00	2.470
312.00	2.224
313.00	2.022
314.00	1.820
315.00	1.613
316.00	1.574
317.00	1.454
318.00	1.359
319.00	1.279
320.00	1.196
321.00	1.118
322.00	1.043
323.00	0.980
324.00	0.924
325.00	0.867
326.00	0.811
327.00	0.765
328.00	0.717
329.00	0.675
330.00	0.636
331.00	0.607
332.00	0.575
333.00	0.547
334.00	0.521
335.00	0.497
336.00	0.476
337.00	0.456
338.00	0.439
339.00	0.423
340.00	0.409
341.00	0.398
342.00	0.391
343.00	0.385
344.00	0.380
345.00	0.376
346.00	0.373
347.00	0.371
348.00	0.370
349.00	0.365
350.00	0.362
351.00	0.358
352.00	0.352
353.00	0.345
354.00	0.339
355.00	0.333
356.00	0.326
357.00	0.319
358.00	0.314
359.00	0.307
360.00	0.303
361.00	0.298
362.00	0.294
363.00	0.292
364.00	0.288
365.00	0.287
366.00	0.285
367.00	0.284
368.00	0.281
369.00	0.280
370.00	0.278
371.00	0.276
372.00	0.274
373.00	0.272
374.00	0.271
375.00	0.269
376.00	0.268
377.00	0.266
378.00	0.265
379.00	0.264
380.00	0.262
381.00	0.261
382.00	0.259
383.00	0.257
384.00	0.254
385.00	0.252
386.00	0.248
387.00	0.244
388.00	0.239
389.00	0.234
390.00	0.228
391.00	0.222
392.00	0.216
393.00	0.210
394.00	0.203
395.00	0.197
396.00	0.192
397.00	0.186
398.00	0.180
399.00	0.175
400.00	0.171
401.00	0.166
402.00	0.161
403.00	0.156
404.00	0.151
405.00	0.146
406.00	0.141
407.00	0.135
408.00	0.129
