"RawData - File_210319_171409.spc"
"Wavelength nm."	"T%"
190.00	0.423
191.00	-0.055
192.00	-0.302
193.00	0.005
194.00	-0.047
195.00	-0.049
196.00	-0.049
197.00	-0.002
198.00	-0.049
199.00	-0.020
200.00	-0.014
201.00	-0.018
202.00	-0.043
203.00	0.014
204.00	-0.014
205.00	-0.008
206.00	-0.002
207.00	-0.011
208.00	0.002
209.00	-0.011
210.00	0.011
211.00	-0.031
212.00	-0.012
213.00	0.043
214.00	0.008
215.00	-0.003
216.00	0.014
217.00	-0.015
218.00	0.012
219.00	-0.014
220.00	-0.006
221.00	0.008
222.00	0.015
223.00	0.002
224.00	-0.011
225.00	0.011
226.00	-0.017
227.00	-0.012
228.00	-0.040
229.00	-0.012
230.00	-0.031
231.00	0.009
232.00	-0.014
233.00	-0.006
234.00	-0.011
235.00	-0.005
236.00	0.002
237.00	-0.021
238.00	0.005
239.00	0.002
240.00	-0.029
241.00	0.000
242.00	0.000
243.00	0.005
244.00	0.008
245.00	-0.014
246.00	0.000
247.00	-0.031
248.00	0.012
249.00	-0.021
250.00	-0.026
251.00	0.002
252.00	0.003
253.00	-0.020
254.00	0.003
255.00	0.015
256.00	0.000
257.00	-0.002
258.00	-0.017
259.00	-0.038
260.00	-0.017
261.00	0.002
262.00	-0.011
263.00	-0.021
264.00	0.024
265.00	-0.024
266.00	-0.058
267.00	-0.040
268.00	-0.015
269.00	0.005
270.00	-0.018
271.00	-0.015
272.00	0.026
273.00	0.023
274.00	-0.029
275.00	-0.015
276.00	-0.069
277.00	-0.049
278.00	-0.075
279.00	-0.031
280.00	-0.047
281.00	0.031
282.00	0.002
283.00	-0.066
284.00	0.038
285.00	0.047
286.00	-0.040
287.00	-0.011
288.00	-0.005
289.00	-0.017
290.00	0.003
291.00	-0.002
292.00	0.041
293.00	0.014
294.00	-0.014
295.00	-0.061
296.00	-0.021
297.00	-0.073
298.00	0.038
299.00	0.069
300.00	0.096
301.00	0.099
302.00	0.069
303.00	0.131
304.00	0.180
305.00	0.156
306.00	0.305
307.00	0.407
308.00	0.473
309.00	0.578
310.00	0.597
311.00	1.167
312.00	1.126
313.00	1.129
314.00	1.564
315.00	2.603
316.00	3.024
317.00	3.935
318.00	4.559
319.00	5.463
320.00	6.650
321.00	7.956
322.00	9.291
323.00	10.852
324.00	12.387
325.00	14.209
326.00	15.892
327.00	17.601
328.00	19.618
329.00	21.460
330.00	23.343
331.00	25.134
332.00	26.848
333.00	28.514
334.00	30.280
335.00	32.314
336.00	33.907
337.00	35.381
338.00	36.710
339.00	38.060
340.00	39.262
341.00	40.025
342.00	40.768
343.00	41.371
344.00	41.878
345.00	42.239
346.00	42.435
347.00	42.372
348.00	42.699
349.00	43.181
350.00	43.600
351.00	44.122
352.00	44.714
353.00	45.328
354.00	45.915
355.00	46.844
356.00	47.380
357.00	48.058
358.00	48.793
359.00	49.419
360.00	49.983
361.00	50.444
362.00	50.800
363.00	51.152
364.00	51.457
365.00	51.572
366.00	51.883
367.00	52.150
368.00	52.321
369.00	52.507
370.00	52.705
371.00	53.093
372.00	53.139
373.00	53.415
374.00	53.770
375.00	53.922
376.00	54.018
377.00	54.137
378.00	54.390
379.00	54.584
380.00	54.771
381.00	54.982
382.00	55.151
383.00	55.469
384.00	55.798
385.00	56.200
386.00	56.647
387.00	57.159
388.00	57.817
389.00	58.565
390.00	59.369
391.00	60.211
392.00	61.024
393.00	61.847
394.00	62.720
395.00	63.690
396.00	64.542
397.00	65.350
398.00	66.196
399.00	66.956
400.00	67.731
401.00	68.506
402.00	69.249
403.00	69.992
404.00	70.811
405.00	71.608
406.00	72.519
407.00	73.441
408.00	74.429
409.00	75.461
410.00	76.422
411.00	77.451
412.00	78.424
413.00	79.332
414.00	80.168
415.00	81.053
416.00	81.726
417.00	82.445
418.00	83.003
419.00	83.472
420.00	83.896
421.00	84.261
422.00	84.557
423.00	84.750
424.00	84.975
425.00	85.164
426.00	85.300
427.00	85.405
428.00	85.519
429.00	85.593
430.00	85.672
431.00	85.745
432.00	85.793
433.00	85.844
434.00	85.870
435.00	85.941
436.00	85.962
437.00	85.985
438.00	86.008
439.00	86.011
440.00	86.037
441.00	86.057
442.00	86.058
443.00	85.982
444.00	85.893
445.00	85.869
446.00	85.818
447.00	85.745
448.00	85.625
449.00	85.486
450.00	85.376
451.00	85.164
452.00	84.970
453.00	84.740
454.00	84.560
455.00	84.279
456.00	84.024
457.00	83.739
458.00	83.455
459.00	83.145
460.00	82.799
461.00	82.462
462.00	82.100
463.00	81.812
464.00	81.445
465.00	81.085
466.00	80.737
467.00	80.356
468.00	79.976
469.00	79.597
470.00	79.182
471.00	78.767
472.00	78.290
473.00	77.811
474.00	77.217
475.00	76.674
476.00	76.012
477.00	75.304
478.00	74.533
479.00	73.701
480.00	72.833
481.00	71.906
482.00	70.911
483.00	69.827
484.00	68.689
485.00	67.525
486.00	66.335
487.00	65.092
488.00	63.829
489.00	62.569
490.00	61.305
491.00	60.094
492.00	58.939
493.00	57.817
494.00	56.709
495.00	55.693
496.00	54.726
497.00	53.870
498.00	53.108
499.00	52.396
500.00	51.723
501.00	51.126
502.00	50.563
503.00	50.020
504.00	49.501
505.00	49.002
506.00	48.453
507.00	47.862
508.00	47.194
509.00	46.501
510.00	45.648
511.00	44.704
512.00	43.654
513.00	42.416
