"RawData - File_210310_125426.spc"
"Wavelength nm."	"Abs."
400.00	3.460
401.00	3.427
402.00	3.521
403.00	3.233
404.00	3.112
405.00	2.948
406.00	2.763
407.00	2.569
408.00	2.367
409.00	2.157
410.00	1.948
411.00	1.743
412.00	1.546
413.00	1.369
414.00	1.201
415.00	1.041
416.00	0.909
417.00	0.792
418.00	0.693
419.00	0.611
420.00	0.544
421.00	0.489
422.00	0.445
423.00	0.411
424.00	0.382
425.00	0.360
426.00	0.343
427.00	0.330
428.00	0.319
429.00	0.312
430.00	0.308
431.00	0.305
432.00	0.304
433.00	0.305
434.00	0.307
435.00	0.310
436.00	0.315
437.00	0.321
438.00	0.328
439.00	0.336
440.00	0.346
441.00	0.356
442.00	0.368
443.00	0.381
444.00	0.397
445.00	0.414
446.00	0.434
447.00	0.455
448.00	0.478
449.00	0.503
450.00	0.530
451.00	0.561
452.00	0.594
453.00	0.629
454.00	0.667
455.00	0.706
456.00	0.747
457.00	0.791
458.00	0.836
459.00	0.883
460.00	0.933
461.00	0.984
462.00	1.033
463.00	1.082
464.00	1.134
465.00	1.187
466.00	1.239
467.00	1.292
468.00	1.348
469.00	1.406
470.00	1.465
471.00	1.528
472.00	1.593
473.00	1.664
474.00	1.738
475.00	1.816
476.00	1.900
477.00	1.998
478.00	2.100
479.00	2.200
480.00	2.303
481.00	2.405
482.00	2.505
483.00	2.599
484.00	2.675
485.00	2.745
486.00	2.790
487.00	2.824
488.00	2.853
489.00	2.866
490.00	2.880
491.00	2.892
492.00	2.892
493.00	2.898
494.00	2.900
495.00	2.904
496.00	2.899
497.00	2.896
498.00	2.900
499.00	2.908
500.00	2.900
501.00	2.904
502.00	2.906
503.00	2.907
504.00	2.904
505.00	2.908
506.00	2.905
507.00	2.907
508.00	2.909
509.00	2.910
510.00	2.910
511.00	2.905
512.00	2.909
513.00	2.911
514.00	2.913
515.00	2.911
516.00	2.915
517.00	2.913
518.00	2.911
519.00	2.910
520.00	2.919
521.00	2.912
522.00	2.913
523.00	2.918
524.00	2.921
525.00	2.923
526.00	2.915
527.00	2.916
528.00	2.928
529.00	2.913
530.00	2.917
531.00	2.911
532.00	2.910
533.00	2.918
534.00	2.912
535.00	2.917
536.00	2.835
537.00	2.762
538.00	2.761
539.00	2.767
540.00	2.767
541.00	2.770
542.00	2.769
543.00	2.768
544.00	2.766
545.00	2.764
546.00	2.767
547.00	2.766
548.00	2.762
549.00	2.763
550.00	2.764
551.00	2.760
552.00	2.758
553.00	2.755
554.00	2.752
555.00	2.752
556.00	2.746
557.00	2.742
558.00	2.717
559.00	2.680
560.00	2.592
561.00	2.437
562.00	2.223
563.00	1.991
564.00	1.753
565.00	1.524
566.00	1.321
567.00	1.148
568.00	0.990
569.00	0.854
570.00	0.736
571.00	0.632
572.00	0.546
573.00	0.473
574.00	0.409
575.00	0.355
576.00	0.310
577.00	0.271
578.00	0.238
579.00	0.211
580.00	0.187
581.00	0.167
582.00	0.150
583.00	0.136
584.00	0.124
585.00	0.113
586.00	0.105
587.00	0.097
588.00	0.091
589.00	0.085
590.00	0.081
591.00	0.077
592.00	0.073
593.00	0.071
594.00	0.068
595.00	0.066
596.00	0.064
597.00	0.063
598.00	0.061
599.00	0.060
600.00	0.059
601.00	0.058
602.00	0.058
603.00	0.057
604.00	0.057
605.00	0.056
606.00	0.055
607.00	0.055
608.00	0.054
609.00	0.054
610.00	0.054
611.00	0.054
612.00	0.053
613.00	0.053
614.00	0.053
615.00	0.053
616.00	0.053
617.00	0.052
618.00	0.052
619.00	0.052
620.00	0.052
621.00	0.052
622.00	0.052
623.00	0.051
624.00	0.051
625.00	0.051
626.00	0.051
627.00	0.051
628.00	0.051
629.00	0.051
630.00	0.051
631.00	0.051
632.00	0.051
633.00	0.051
634.00	0.051
635.00	0.050
636.00	0.050
637.00	0.050
638.00	0.050
639.00	0.050
640.00	0.050
641.00	0.050
642.00	0.050
643.00	0.050
644.00	0.050
645.00	0.050
646.00	0.050
647.00	0.050
648.00	0.050
649.00	0.050
650.00	0.050
