"RawData - File_210310_100708.spc"
"Wavelength nm."	"Abs."
190.00	3.230
191.00	3.621
192.00	3.962
193.00	3.964
194.00	3.879
195.00	3.840
196.00	3.937
197.00	3.973
198.00	3.750
199.00	3.853
200.00	3.953
201.00	3.968
202.00	3.952
203.00	3.924
204.00	3.913
205.00	3.912
206.00	3.891
207.00	3.896
208.00	3.974
209.00	4.000
210.00	3.959
211.00	3.932
212.00	3.999
213.00	3.976
214.00	3.976
215.00	3.980
216.00	3.954
217.00	3.976
218.00	3.941
219.00	3.944
220.00	4.000
221.00	3.951
222.00	3.889
223.00	3.893
224.00	3.952
225.00	3.885
226.00	3.964
227.00	3.923
228.00	3.988
229.00	3.981
230.00	3.990
231.00	3.990
232.00	3.946
233.00	3.957
234.00	4.000
235.00	3.949
236.00	3.973
237.00	3.986
238.00	3.975
239.00	3.896
240.00	3.924
241.00	3.976
242.00	3.901
243.00	3.810
244.00	3.864
245.00	3.825
246.00	3.936
247.00	3.971
248.00	3.948
249.00	3.940
250.00	3.886
251.00	3.909
252.00	3.876
253.00	3.826
254.00	3.934
255.00	3.902
256.00	3.821
257.00	3.838
258.00	3.922
259.00	3.864
260.00	3.865
261.00	3.827
262.00	3.837
263.00	3.859
264.00	3.920
265.00	3.905
266.00	3.932
267.00	3.741
268.00	3.940
269.00	3.876
270.00	3.902
271.00	3.932
272.00	3.905
273.00	3.808
274.00	3.761
275.00	3.816
276.00	3.878
277.00	3.923
278.00	3.811
279.00	3.819
280.00	3.710
281.00	3.717
282.00	3.850
283.00	3.769
284.00	3.825
285.00	3.887
286.00	3.911
287.00	3.599
288.00	3.791
289.00	3.843
290.00	3.954
291.00	3.883
292.00	3.997
293.00	3.906
294.00	3.884
295.00	3.945
296.00	3.864
297.00	3.672
298.00	3.846
299.00	3.922
300.00	3.940
301.00	3.913
302.00	3.786
303.00	3.800
304.00	3.686
305.00	3.923
306.00	3.886
307.00	3.865
308.00	3.901
309.00	3.819
310.00	3.789
311.00	3.714
312.00	3.925
313.00	3.846
